0.66;0.53;0.55;0.65;0.51;-15
0.66;0.47;0.58;0.65;0.52;177
0.65;0.51;0.54;0.65;0.53;67
0.66;0.54;0.54;0.65;0.57;135
0.67;0.55;0.54;0.65;0.57;-80
0.66;0.50;0.54;0.63;0.57;-45
0.65;0.49;0.56;0.65;0.52;98
0.65;0.51;0.55;0.65;0.55;215
0.66;0.57;0.55;0.66;0.57;72
0.67;0.55;0.55;0.65;0.56;-124
0.66;0.51;0.52;0.65;0.52;-256
0.66;0.53;0.55;0.66;0.52;187
0.67;0.57;0.55;0.66;0.57;130
0.70;0.57;0.56;0.66;0.60;-3
0.67;0.51;0.56;0.66;0.54;-10
0.65;0.51;0.55;0.65;0.51;138
0.69;0.57;0.56;0.65;0.57;74
0.66;0.55;0.55;0.66;0.58;42
0.65;0.51;0.54;0.65;0.52;-8
0.65;0.54;0.56;0.66;0.51;82
0.66;0.58;0.56;0.66;0.57;63
0.69;0.56;0.55;0.66;0.59;-236
0.65;0.51;0.55;0.66;0.53;9
0.65;0.52;0.57;0.66;0.51;-36
0.66;0.54;0.57;0.67;0.55;231
0.69;0.56;0.58;0.67;0.59;-75
0.65;0.50;0.56;0.65;0.53;-39
0.63;0.51;0.57;0.66;0.53;111
0.65;0.56;0.57;0.65;0.56;141
0.69;0.56;0.58;0.68;0.59;20
0.66;0.50;0.56;0.66;0.54;31
0.64;0.50;0.56;0.65;0.50;74
0.64;0.51;0.56;0.66;0.52;126
0.69;0.58;0.57;0.67;0.60;11
0.69;0.56;0.56;0.66;0.58;-77
0.65;0.52;0.55;0.66;0.53;53
0.64;0.53;0.56;0.65;0.51;-2
0.64;0.51;0.57;0.65;0.51;352
0.69;0.58;0.57;0.66;0.60;89
0.73;0.59;0.59;0.67;0.63;-116

0.65;0.54;0.57;0.67;0.50;68
0.65;0.51;0.56;0.65;0.50;53
0.64;0.52;0.56;0.65;0.50;47
0.65;0.52;0.56;0.66;0.57;46
0.64;0.52;0.56;0.65;0.51;-10
0.65;0.54;0.57;0.65;0.54;236
0.65;0.58;0.56;0.65;0.59;67
0.66;0.51;0.56;0.66;0.53;9
0.65;0.51;0.56;0.65;0.50;-23
0.64;0.56;0.56;0.66;0.54;224
0.65;0.61;0.57;0.66;0.62;21
0.65;0.52;0.56;0.65;0.53;-9
0.65;0.50;0.56;0.65;0.50;21
0.65;0.57;0.56;0.66;0.54;274
0.67;0.64;0.58;0.66;0.64;30
0.68;0.51;0.55;0.65;0.53;-94
0.66;0.51;0.54;0.65;0.50;-42
0.67;0.51;0.56;0.65;0.51;98
0.66;0.51;0.55;0.67;0.55;247
0.67;0.59;0.57;0.66;0.58;25
0.69;0.59;0.56;0.66;0.61;35
0.65;0.51;0.54;0.65;0.53;68
0.65;0.54;0.55;0.65;0.55;193
0.70;0.61;0.57;0.67;0.64;-53
0.71;0.56;0.56;0.66;0.58;35
0.65;0.50;0.55;0.65;0.51;61
0.65;0.57;0.55;0.65;0.58;55
0.74;0.63;0.59;0.67;0.67;61
0.68;0.52;0.55;0.66;0.56;67
0.65;0.49;0.56;0.66;0.50;-194
0.65;0.50;0.57;0.65;0.51;221
0.65;0.55;0.59;0.67;0.57;94
0.70;0.60;0.58;0.68;0.57;-59
0.65;0.49;0.55;0.65;0.52;-36
0.65;0.49;0.57;0.65;0.50;127
0.66;0.57;0.58;0.68;0.58;136
0.72;0.60;0.58;0.68;0.58;-79
0.66;0.50;0.55;0.65;0.52;41
0.65;0.50;0.56;0.65;0.52;38
0.69;0.58;0.59;0.67;0.57;117

0.66;0.52;0.57;0.65;0.51;0
0.65;0.50;0.55;0.65;0.52;91
0.65;0.51;0.55;0.65;0.52;-24
0.65;0.51;0.56;0.66;0.51;-35
0.65;0.51;0.56;0.65;0.51;88
0.65;0.50;0.56;0.65;0.51;152
0.66;0.52;0.57;0.66;0.56;92
0.66;0.52;0.57;0.67;0.58;4
0.64;0.50;0.55;0.65;0.53;-41
0.65;0.52;0.56;0.66;0.53;-7
0.69;0.60;0.59;0.67;0.58;89
0.69;0.57;0.58;0.67;0.62;91
0.64;0.49;0.56;0.65;0.52;-68
0.63;0.51;0.57;0.66;0.52;65
0.66;0.58;0.58;0.67;0.60;123
0.69;0.57;0.59;0.66;0.61;159
0.63;0.47;0.54;0.65;0.51;-162
0.63;0.50;0.57;0.65;0.50;499
0.65;0.55;0.57;0.66;0.56;206
0.72;0.63;0.59;0.67;0.64;-256
0.66;0.49;0.55;0.65;0.53;-243
0.64;0.50;0.55;0.66;0.51;261
0.65;0.55;0.57;0.66;0.53;101
0.70;0.60;0.58;0.68;0.59;-169
0.65;0.52;0.56;0.66;0.53;-105
0.65;0.50;0.56;0.67;0.50;58
0.63;0.51;0.58;0.65;0.51;255
0.71;0.59;0.60;0.68;0.65;166
0.66;0.54;0.59;0.68;0.58;-52
