0.3,-0.9
0.5,-0.4
0.8,-0.1
1.0, 0.2
1.2, 0.4
1.5, 0.5
2.0, 0.4
2.5, 0.2
3.0, 0.0
3.5,-0.1
4.0,-0.3
4.5,-0.4
5.0,-0.4
5.5,-0.3
6.0,-0.1
6.5, 0.2
7.0, 0.6
7.5, 1.0
8.0, 1.3
8.5, 1.5
9.0, 1.6
9.5, 1.7
10.0,1.7
10.5,1.6
11.0,1.4
11.5,1.2
12.0,0.9
12.5,0.6
13.0,0.3
13.5,0.0
14.0,-0.2
14.5,-0.3
15.0,-0.4
15.5,-0.4
16.0,-0.4
16.5,-0.2
17.0, 0.0
17.5, 0.4
18.0, 0.8
18.5, 1.3
19.0, 1.8
19.5, 2.2
20.0, 2.5
20.5, 2.6
21.0, 2.7
21.5, 2.6
22.0, 2.4
22.5, 2.1
23.0, 1.8
23.5, 1.5
24.0, 1.2
24.5, 0.9
25.0, 0.7
25.5, 0.4
26.0, 0.2
26.5, 0.0
27.0,-0.1
27.5,-0.2
28.0,-0.2
28.5,-0.2
29.0,-0.2
29.5,-0.1
30.0, 0.0
30.5, 0.2
31.0, 0.4
31.5, 0.6
32.0, 0.8
32.5, 1.0
33.0, 1.2
33.5, 1.4
34.0, 1.6
34.5, 1.8
35.0, 2.0
35.5, 2.1
36.0, 2.1
36.5, 2.1
37.0, 2.0
37.5, 1.8
38.0, 1.6
38.5, 1.3
39.0, 1.0
39.5, 0.6
40.0, 0.3
40.5, 0.0
41.0,-0.2
41.5,-0.3
42.0,-0.4
42.5,-0.3
43.0,-0.3
43.5,-0.2
44.0,-0.1
44.5, 0.0
45.0, 0.2
45.5, 0.5
46.0, 0.8
46.5, 1.1
47.0, 1.4
47.5, 1.8
48.0, 2.2
48.5, 2.5
49.0, 2.7
49.5, 2.9
50.0, 3.0
