0.91,0.96,0.95,0.90
1.37,1.43,1.28,1.31
1.64,1.68,1.44,1.52
1.75,1.77,1.50,1.56
1.82,1.89,1.55,1.66
1.84,1.95,1.54,1.72
1.81,1.93,1.48,1.71
1.75,1.85,1.45,1.70
1.05,1.01,0.91,0.95
0.13,0.11,0.19,0.13
0.09,0.09,0.11,0.10
0.09,0.11,0.16,0.12
0.29,0.29,0.34,0.35
0.94,0.96,0.94,1.03
1.45,1.48,1.31,1.49
1.67,1.70,1.45,1.64
1.77,1.78,1.51,1.72
1.85,1.86,1.56,1.75
1.87,1.87,1.59,1.75
0.96,0.97,0.87,0.87
0.10,0.08,0.13,0.10
0.08,0.09,0.11,0.11
0.09,0.10,0.12,0.11
0.09,0.10,0.13,0.12
0.09,0.10,0.13,0.11
0.10,0.11,0.14,0.13
0.10,0.12,0.14,0.12
0.11,0.11,0.14,0.12
0.11,0.11,0.14,0.13
0.11,0.11,0.15,0.13
0.12,0.12,0.15,0.13
